Entidad;Sigla;Fecha de Ingreso;Pertenece al CD 2024;IGJ;AFIP;Estatuto;Nómina Actualizada;Fecha de vencimiento - NÓMINA;Presidente;Fecha de vencimiento - PRESIDENTE;CUIT;Estado del CUIT;Solicitud de ingreso;Fecha de solicitud;Provincia;Localidad;Dirección
Asociación Rural Tierra del Fuego;ARTF;16/1/2019;NO;SI;SI;SI;Vigente;4/12/2024;Lucila Apolinaire;4/12/2024;30545473840;OK;;;Tierra del Fuego;Rio Grande; EL ESQUILADOR 138 of. 554 (CP 9420) RIO GRANDE, Tierra del Fuego  
Asociación Ruta de la Yerba Mate;ARYM;18/11/2010;NO;SI;SI;SI;Vigente;31/12/2024;Alejandro Federico Gruber;31/12/2024;30710926227;OK;;;Misiones;Posadas; San Lorenzo 1503 1? (CP 3300) POSADAS, Misiones  
Asociación Santafesina de Productores de Arroz;ASPA;9/9/2015;NO;SI;SI;SI;Vencida;1/4/2018;Hugo César Bode;1/4/2018;30713918802;CONSTANCIA BLOQUEADA;;;Santa Fe;San Javier; MORENO S/N (CP 3005) SAN JAVIER, Santa Fe  
Asociación Tucumana de Criadores de Chinchillas;ATUCRICHI;3/12/2009;NO;NO;NO;NO;Vencida;31/12/2017;José Alberto Arnedo;31/12/2017;0;SIN CUIT;SI;03/12/2009;Tucumán;Trancas; Venezuela 3956 (CP ) Ciudad Autónoma de Buenos Aires   LOLA MORA sin nro. (CP 4124) TRANCAS, Tucumán  
Asociados a la Cámara de Comerciantes de la Avenida Avellaneda;ACOMA;1/6/2017;NO;SI;SI;SI;Vencida;31/12/2021;Emiliano Iglesias;31/12/2021;30715274252;BAJA DE OFICIO;;;CABA;; Avellaneda 2926 (CP 1406) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Empresas de Publicidad en Vía Pública;CAEPVP;4/5/2017;NO;SI;SI;SI;Vigente;23/8/2028;Guillermo De Lella;23/8/2028;30707536930;OK;;;CABA;; Esmeralda 950 14 118 (CP 1007) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de la Industria del Juguete;CAIJ;26/11/2009;NO;SI;SI;NO;Vencida;30/9/2021;Emmanuel Poletto;30/9/2021;30543897317;OK;;;CABA;; COCHABAMBA 4067 P.B. (CP 1252) Ciudad Autónoma de Buenos Aires  
Cámara Agroindustrial de la Rioja;CAILAR;27/7/2017;NO;SI;NO;SI;Vencida;30/6/2020;Oscar Soteras;30/6/2020;30711268703;CONSTANCIA BLOQUEADA;;;La Rioja;Chilecito; Zelada Dávila 51 (CP 5360) CHILECITO, La Rioja  
Cámara Argentina de Bananas y Afines;CIBA;8/6/2016;NO;SI;SI;SI;Vigente;26/10/2025;Juan Bonifacio Lastra;26/10/2025;33707809219;OK;;;CABA;; AVENIDA CORRIENTES 1675 2 (CP 1042) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Cableoperadores Pymes;CACPY;6/6/2018;NO;SI;SI;SI;Vencida;30/6/2019;Marcelo Fabián Tulisi;30/6/2019;30711529779;OK;;;Santa Fe;El Trebol; RIO NEGRO 779 (CP 2535) EL TREBOL, Santa Fe  
Cámara Argentina de Calefacción, Aire Acondicionado y Ventilación;CACAAV;30/7/2015;NO;SI;SI;SI;Vencida;30/12/2019;Mario Ricardo Alcoba;6/12/2022;30575650119;OK;;;CABA;; AVENIDA BELGRANO 535 8 A (CP 1092) Ciudad Autónoma de Buenos Aires   AVENIDA BELGRANO 545 P.B. (CP 1092) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Certificadoras;CACER;7/3/2019;NO;SI;SI;SI;Vencida;31/8/2020;Gabriel Berardinelli;20/1/2023;30708453419;OK;;;CABA;; Av. de Mayo 981 2 Of. 220 (CP ) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Comerciantes en Máquinas para Coser;CAMAC;00/00/0000;NO;NO;SI;NO;Vencida;30/11/2020;Rodolfo Javier Lusterman;30/11/2020;30554492149;OK;;;CABA;; HUMBERTO PRIMO 2425 (CP 1029) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Comercio e Industria de Bicicletas, Partes, Rodados y Afines;COMMBI;10/10/2013;NO;SI;SI;SI;Vigente;30/4/2027;Esteban Freier;30/4/2027;30709772380;OK;;;CABA;; ROCA JULIO A. PRESIDENTE AVENIDA 672 5 c (CP 1067) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Comercio Electrónico;CACE;16/1/2019;NO;SI;SI;SI;Vigente;15/11/2024;Andrés Zaied;15/11/2024;30702961498;OK;;;CABA;; NICETO VEGA 4736 (CP 1414) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Concesionarios de Motos;CADECOM;2/2/2015;Si;SI;SI;SI;Vigente;30/6/2025;Jorge Enrique Hudema;30/6/2025;30714738387;OK;;;CABA;; Humberto Primo 985 EP (CP ) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Distribuidores de Alfombras, Revestimientos y Afines;CADARA;22/6/1984;NO;NO;SI;NO;Vencida;31/12/2016;Jacobo Ricardo Monis;31/12/2016;30558685324;OK;;;CABA;; Riobamba 865 5 (CP 1116) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Distribuidores de Gas Licuado;CADIGAS;17/12/2003;NO;SI;SI;SI;Vigente;26/5/2025;Claudio Alejandro Bisurgi;26/5/2025;30708566299;OK;;;CABA;; Lavalle 1441 9 Of. 901 (CP 1048) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Distribuidores de Hierros y Afines;CADHYA;00/00/0000;NO;NO;SI;NO;Vigente;30/9/2024;Pablo Resnik;30/9/2024;30531950417;OK;;;CABA;; BOLIVAR 382 Piso 8 32 (CP 1066) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Distribuidores de Materiales Eléctricos;CADIME;15/3/2012;NO;SI;SI;SI;Vigente;20/6/2025;Omar Camps;20/6/2025;30595538218;OK;;;CABA;; ALBERTI 1074 (CP 1223) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Distribuidores Mayoristas de Informática, Productores y Afines;CADMI PyA;21/8/2019;NO;SI;SI;SI;Vigente;1/4/2025;Alejandro Boggio;1/4/2025;30711172005;OK;;;Buenos Aires;Florida; Agustin Alvarez 1850 (CP 1602) FLORIDA, Buenos Aires  
Cámara Argentina de Distribuidores y Autoservicios Mayoristas;CADAM;9/6/2005;NO;SI;SI;SI;Vigente;12/6/2026;Juan Alejandro Castro;12/6/2026;30648451918;OK;;;CABA;; LINNEO 1959 (CP 1416) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Empresarios Culturales;CAEC;6/8/2009;NO;NO;SI;NO;Vigente;11/9/2026;Liana T. Sabbatella;11/9/2026;30707896848;OK;;;CABA;; SOLDADO DE LA INDEPENDENCIA 1258 2 A (CP 1426) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Empresarios Gráficos y Afines;CAEGA;15/10/2009;NO;SI;SI;SI;Vencida;13/4/2020;Juan José Elena;13/4/2020;30711596468;BAJA DE OFICIO;;;CABA;; Alicia Moreau de Justo 1150 3 306 A (CP 1417) Ciudad Autónoma de Buenos Aires  DIREC. SEDE SOCIAL  
Cámara Argentina de Empresas Alquiladoras de Automotores;CADEA;9/2/2012;NO;SI;SI;SI;Vencida;30/4/2018;Clara Furlong;30/4/2018;30679115967;BAJA DE OFICIO;;;CABA;; Jeronimo Salguero 3350 4 406 (CP 1425) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Empresas de Drones y Afines;CAEDYA;20/2/2020;NO;SI;SI;SI;Vencida;2/9/2021;Federico Bais;2/9/2021;30716732610;OK;;;CABA;; AZOPARDO 770 10 11 (CP 1107) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Empresas de Fuegos Artificiales;CAEFA;1/8/2018;NO;SI;SI;SI;Vencida;30/4/2020;Mario Ruschin;30/4/2020;30707147535;OK;;;CABA;; VIAMONTE 1487 1 A (CP 1055) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Empresas de la Industria del Sweater;;8/1/2004;NO;NO;NO;NO;Vencida;30/6/2019;Pedro Bergaglio;30/6/2019;30709027413;BAJA DE OFICIO;;;CABA;; Fraga 1209 (CP 1407) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Empresas de Seguridad e Investigación;CAESI;00/00/0000;NO;NO;SI;NO;Vigente;20/4/2024;Fernando Pesce;24/4/2026;30549167132;OK;;;CABA;; MONTEVIDEO 666 Piso 3 Of. 307 (CP 1019) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Empresas de Software Libre;CADESOL;26/4/2012;NO;SI;SI;SI;Vencida;21/11/2016;Daniel Esteban Coletti;21/11/2016;30711964254;BAJA DE OFICIO;;;CABA;; Bolivar 238 3 B (CP 1066) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Fabricantes de Cartón Corrugado;CAFCCO;17/3/2011;NO;SI;SI;SI;Vigente;1/10/2025;Marino Pansini;1/10/2025;30618825406;OK;;;CABA;; Av. Presidente Roque Saenz Peña 846 7 A (CP 1035) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Fabricantes de Herrajes y Afines;CADEFHA;23/9/2015;NO;NO;SI;SI;Vencida;30/9/2022;Guillermo Cardillo;30/9/2022;30638606700;OK;;;CABA;; MAGARI?OS CERVANTES ALEJANDRO 1310 1 (CP 1416) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Fabricantes de Luminarias Eficientes y Domótica;CAFLED;17/7/2018;Si;SI;SI;SI;Vencida;21/12/2023;Daniel Reinaldo García;21/12/2023;30715890255;OK;;;CABA;; TALCAHUANO 1071 (CP ) Ciudad Autónoma de Buenos Aires  DIRECCIÃ“N PROVISORIA (09/21)   AGUIRRE 1292 (CP 1414) Ciudad Autónoma de Buenos Aires    
Cámara Argentina de Fabricantes e Importadores de Regalos y Afines;CAFIRA;17/5/2012;NO;SI;SI;SI;Vigente;31/5/2026;Martín Ezequiel Ortíz Villa;31/5/2026;30709702110;OK;;;CABA;; MEDRANO 713 1 3 (CP 1179) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Fabricantes y Proveedores de Equipamientos, Insumos y Servicios para la Cadena Láctea;CAFyPEL;14/5/2015;NO;SI;SI;SI;Vencida;31/12/2021;Victor Saul Degano;31/12/2021;30714157066;OK;;;Santa Fe;El Trebol; Ruta Provincial 40 y H. Maurino (CP 2535) EL TREBOL, Santa Fe  
Cámara Argentina de Farmacias;CAF;00/00/0000;NO;NO;SI;SI;Vigente;30/10/2024;Rodolfo Barrero;30/10/2024;30586722316;OK;;;CABA;; AV. RIVADAVIA 1615 Piso 1 (CP 1033) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Florerías;CAF;7/10/2010;NO;SI;SI;SI;Vencida;30/11/2019;Sara Narvaez;30/11/2019;30669645844;ESTADO ERRONEO DEL DOMICILIO;;;Jujuy;San Salvador De Jujuy; SARMIENTO 443 (CP 4600) SAN SALVADOR DE JUJUY, Jujuy  
Cámara Argentina de Fraccionadores de Miel;CAFRAM;21/8/2019;NO;SI;SI;SI;Vencida;11/6/2022;Carlos Hugo Levin;11/6/2022;30716550466;OK;;;Río Negro;General Roca; Uruguay 1073 (CP 8332) GENERAL ROCA, Río Negro  
Cámara Argentina de Importadores y Exportadores de Plantas, Flores y Afines;CAIEFPyA;20/6/2003;NO;NO;NO;NO;Vencida;30/7/2020;Horacio Antonio Fernández;30/7/2020;30707424393;BAJA DE OFICIO;;;Buenos Aires;Moron; La Comuna 145 (CP ) MORON, Buenos Aires  
Cámara Argentina de Importadores, Fabricantes y Distribuidores de Audio, Video, Instrumentos Musicales e Iluminación;CAIMAVI;7/11/2013;NO;SI;SI;SI;Vencida;1/6/2019;Diego Carullo;31/3/2024;30714041378;BAJA DE OFICIO;;;CABA;; URUGUAY 763 2 (CP 1019) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Indumentaria de Bebés y Niños;CAIBYN;16/7/2009;NO;SI;SI;SI;Vigente;30/11/2025;Gustavo C. Garcia;30/11/2025;30653421415;OK;;;CABA;; AVENIDA RIVADAVIA 1523 5 (CP 1033) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Industriales Proveedores de la Industria del Calzado;CAIPIC;2/2/2017;NO;SI;SI;SI;Vigente;2/11/2024;María Martha Menini;2/11/2024;30542042814;OK;;;CABA;; José Mármol 326 (CP 1183) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Innovación Textil y Afines;CAITA;6/6/2018;Si;SI;NO;SI;Vencida;15/9/2020;Horacio Ernesto Del Burgo;1/2/2023;30716025248;BAJA DE OFICIO;;;CABA;; FRAGA 1209 (CP 1427) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Joyerías, Relojería y Afines;;1/12/1985;NO;NO;NO;NO;Vencida;23/3/2024;Walter Daniel Die;30/11/2022;30678823534;CONSTANCIA BLOQUEADA;;;CABA;; TALCAHUANO 178 Piso 3 (CP 1013) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de la Industria de Cosmética y Perfumería;CAPA;22/8/2007;Si;SI;SI;SI;Vigente;20/4/2023;Rolando Castro;30/4/2025;30525641747;OK;;;CABA;; PARAGUAY 1857 (CP 1121) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de la Industria del Letrero y Afines;CAIL;16/4/2004;Si;SI;SI;SI;Vigente;30/4/2025;Mariela Tesconi;30/4/2025;30632941788;OK;;;CABA;; AGRELO 4049 (CP 1224) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de la Industria Ferial;CAIFE;5/2/2015;NO;SI;SI;SI;Vencida;30/12/2020;Mariano Wojcicki;17/8/2023;30711242755;BAJA DE OFICIO;;;CABA;; VIRREY LINIERS 641 (CP 1414) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de la Máquina Herramienta y Tecnologías para la Producción;CARMAHE;3/11/2010;NO;SI;SI;SI;Vigente;31/12/2023;Alfredo Carlos Bonazzi;31/12/2025;30559592109;OK;;;CABA;; Av. Julio A. Roca 516 3 (CP 1067) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Laboratorios Independientes Bromatológicos Ambientales y Afines;CALIBA;9/10/2019;NO;SI;SI;SI;Vencida;25/9/2023;Mario Ismach;25/9/2023;30687747182;OK;;;CABA;; AVENIDA DE MAYO 981 2 Of: 2 (CP 1084) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Multimedia, Ofimática, Comunicaciones y Afines;CAMOCA;6/11/1998;Si;SI;SI;SI;Vigente;28/11/2024;Hugo Aníbal Martty;28/11/2024;30561552289;OK;;;CABA;;" AV. CORDOBA 950 Piso 6 Dpto. ""D"" (CP 1054) Ciudad Autónoma de Buenos Aires  "
Cámara Argentina de Óptica;CADEO;20/10/2016;NO;SI;SI;SI;Vigente;25/4/2027;Omar Fernando Visconti;25/4/2027;30698371605;OK;;;CABA;;Talcahuano 253, Ciudad Autónoma De Buenos Aires
Cámara Argentina de Papelerías, Librerías y Afines;CAPLA;29/11/1984;NO;SI;SI;NO;Vencida;31/12/2023;Daniel Iglesias López;31/12/2023;30515852006;OK;;;CABA;; AV. SAN MARTÍN 4630 1 a (CP 1417) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Pequeños Proveedores de Internet;CAPPI;11/12/2014;NO;NO;SI;SI;Vigente;18/11/2024;Luis Rodolfo Bianchi;18/11/2024;30714587222;OK;;;CABA;; ECHEVERRIA 2578 1 108 (CP 1428) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Productores Avícolas;CAPIA;20/2/2020;NO;NO;SI;NO;Vencida;31/12/2023;Javier Cesar Prida;31/12/2023;30540152744;OK;;;CABA;; CORRIENTES AVENIDA 127 3 302 (CP 1043) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Productores de Alimentos Libres de Gluten;CAPALIGLU;4/7/2013;NO;SI;SI;SI;Vencida;31/12/2019;Silvina Rumi;31/12/2019;30712369287;OK;;;CABA;; BERNARDO DE IRIGOYEN 1378 4 A (CP 1138) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Productores de Medicamentos Genéricos y de Uso Hospitalario;CAPGEN;27/9/2012;NO;SI;SI;SI;Vigente;30/3/2026;Laura Fabra;30/3/2026;30707341331;OK;;;CABA;; MARIANO ACHA 2102 (CP 1430) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Protección contra Incendios;CEMERA;26/6/2012;Si;SI;SI;SI;Vigente;20/3/2024;Gustavo Juan Falcati;24/10/2026;30714258326;OK;;;CABA;; RIVADAVIA AVENIDA 581 5º B (CP 1407) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Proveedores de la Industria Petro-Energética;CAPIPE;4/7/2014;NO;SI;SI;SI;Vigente;1/10/2024;Leandro Capasso;1/10/2024;30709772763;OK;;;CABA;; Av. Belgrano 835 1 Of. 1 (CP 1092) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Pymes proveedoras de la Industria de las Telecomunicaciones;CAPPITEL;9/9/2015;NO;SI;SI;SI;Vencida;1/7/2024;Pablo Perelmuter;1/7/2024;30714352470;OK;;;CABA;; THAMES 1368 (CP 1414) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Seguridad;CAS;19/11/2020;NO;SI;SI;NO;Vigente;30/4/2025;Daniel Ferrer;31/12/2025;30515926530;OK;;;CABA;; Pte. Luis Saenz Pe 310 4 (CP ) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Seguridad Electrónica;CASEL;16/12/2003;Si;SI;SI;SI;Vencida;1/4/2024;Sebastian Cason;1/4/2024;30707945288;OK;;;CABA;; MORENO 957 Piso 4 Of. 3 (CP 1091) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Supermercados;CAS;10/9/2009;NO;SI;SI;SI;Vigente;12/5/2026;Victor Hugo Palpacelli;27/6/2026;30544017507;OK;;;CABA;; VIAMONTE 340-342 Piso 3 (CP 1053) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Tintorerías y Ayuda Mutual;CATYAM;15/4/1988;NO;NO;NO;NO;Vencida;31/12/2016;Juan José Figueiras;31/12/2016;30534314260;BAJA DE OFICIO;;;CABA;; AVENIDA RIVADAVIA 12320 (CP 1702) Ciudad Autónoma de Buenos Aires  
Cámara Argentina de Videoclubes;CAVIC;12/10/2004;NO;NO;NO;NO;Vencida;31/12/2016;Juan Norberto Melo;31/12/2016;30710359837;BAJA DE OFICIO;;;Buenos Aires;City Bell; cale 472 e/14A y 14B 525 (CP 1896) CITY BELL, Buenos Aires  
Cámara Argentina de Vinotecas y Afines;CAVA;19/11/2020;NO;SI;SI;SI;Vigente;1/11/2024;Sergio David Cerro;1/11/2024;30704957064;OK;;;CABA;; Araoz 1195 (CP ) Ciudad Autónoma de Buenos Aires  
Cámara Argentina del Comercio e Industria Dental;CACID;00/00/0000;NO;NO;SI;NO;Vencida;31/12/2018;Danian Musto;30/12/2023;30534788033;OK;;;CABA;; PASTEUR 765 Piso 3 (CP 1028) Ciudad Autónoma de Buenos Aires  
Cámara Argentina del Gas Natural Comprimido;CAGNC;8/1/2015;NO;SI;SI;SI;Vigente;8/1/2026;Gustavo Frontera;8/1/2026;30648813224;OK;;;CABA;; ADOLFO ALSINA 1609 2 (CP 1088) Ciudad Autónoma de Buenos Aires  
Cámara Argentina del Libro;C.A.L;8/9/2016;NO;SI;SI;SI;Vigente;30/9/2019;Juan Manuel Pampin;24/9/2025;33525495669;OK;;;CABA;; AVENIDA BELGRANO 1580 4 (CP 1093) Ciudad Autónoma de Buenos Aires  
Cámara Argentina del Maní;CAM;2/2/2017;NO;SI;SI;SI;Vigente;1/7/2025;Diego Yabes;1/7/2025;30607645317;OK;;;Córdoba;; 20 DE SEPTIEMBRE 855 A (CP 5809) Córdoba  
Cámara Argentina del Papel y Afines;CAPA;00/00/0000;NO;SI;SI;NO;Vigente;30/10/2024;Claudio Nardini;31/10/2024;30531657108;OK;;;CABA;; Fray Justo Santa María de Oro 2730 5 A (CP 1425) Ciudad Autónoma de Buenos Aires  
Cámara Argentina Empresarial del Flete y Miniflete;CAEFYM;9/5/2013;Si;SI;SI;SI;Vigente;17/10/2024;Rodrigo Hernán Sosa;17/10/2024;30711061602;BAJA DE OFICIO;;;CABA;; AVENIDA PUEYRREDON 480 1 Of. 6 (CP 1053) Ciudad Autónoma de Buenos Aires  
Cámara Argentina Fabricantes de Maquinaria Agrícola;CAFMA;5/3/2009;NO;SI;SI;NO;Vencida;30/1/2020;Néstor Cestari;30/1/2020;30679656232;OK;;;CABA;;" HIPOLITO YRIGOYEN 1534 Piso 5 Dpto. ""A"" (CP 1088) Ciudad Autónoma de Buenos Aires  "
Cámara Argentina Fraccionadora, Almacenadora, Comercializadora - no productora - de Gas Licuado de Petróleo;CAFRAGAS;24/11/2003;NO;NO;SI;NO;Vencida;30/12/2019;Pedro Renda;30/12/2019;30708331879;BAJA DE OFICIO;;;CABA;; BALCARCE 226 Piso 1 Of. 5 (CP 1064) Ciudad Autónoma de Buenos Aires  
Cámara Argentina Servicios Técnicos Autorizados de Artefactos del Hogar;CASTAH;27/5/2013;Si;SI;SI;SI;Vigente;31/12/2024;Carlos Alfredo Gagliardi;31/12/2024;30714078654;OK;;;Santa Fe;Santa Fe; CORDOBA 825 (CP 3000) SANTA FE, Santa Fe  
Cámara Avícola Santafesina;CAS;21/8/2019;NO;SI;SI;SI;Vigente;30/10/2021;Alejandro Marcelo Coianiz;29/10/2024;30711776342;OK;;;Santa Fe;Santa Fe; 25 DE MAYO 2843 (CP 3000) SANTA FE, Santa Fe  
Cámara Comercial e Industrial de Bolívar;CCeIB;1/10/1987;Si;SI;SI;SI;Vigente;30/11/2024;Luis Germán Behrens;30/11/2024;30528257921;OK;;;Buenos Aires;Bolivar; LAS HERAS 45 P.B. (CP 6550) BOLIVAR, Buenos Aires  
Cámara Comercial e Industrial de Cañuelas;CCIC;10/9/2009;NO;SI;SI;SI;Vigente;1/5/2025;Gustavo Sacco;1/5/2025;30635467505;OK;;;Buenos Aires;Cañuelas; LARA ESQUINA SAN MART 699 (CP 1814) CAÑUELAS, Buenos Aires  
Cámara Comercial e Industrial de Tigre;(CACIT);00/00/0000;Si;SI;SI;SI;Vigente;31/3/2025;Pablo Lucio Senestrari;31/3/2026;30688590465;OK;;;Buenos Aires;Tigre; MONTES DE OCA 442 (CP 1648) TIGRE, Buenos Aires  
Cámara Comercial, Empresarial e Industrial de Malvinas Argentinas;CACEIMA;9/6/2011;NO;SI;SI;SI;Vigente;1/4/2026;Carlos José Cesare;3/8/2027;30711897832;OK;;;Buenos Aires;Los Polvorines; Ingeniero Huergo 3606 (CP 1613) LOS POLVORINES, Buenos Aires  
Cámara Comercial, Industrial y Bienes Raíces de Florencio Varela;CCIFV;26/8/1988;Si;NO;SI;SI;Vencida;21/12/2023;Juan Piotroski;20/12/2023;30589691268;OK;;;Buenos Aires;Florencio Varela; MITRE 254 (CP 1888) FLORENCIO VARELA, Buenos Aires  
Cámara Comercial, Industrial y Comunitaria de Chilecito;CCCHI;15/10/2008;NO;NO;SI;NO;Vigente;10/9/2026;Cesar Fabián Hilal;10/9/2026;33671738069;OK;;;La Rioja;Chilecito; CASTRO BARROS 225 P.B. Local 1 (CP 5360) CHILECITO, La Rioja  
Cámara Comercial, Industrial y de Servicios de Rauch;;26/3/1982;NO;SI;SI;SI;Vigente;28/12/2023;Hugo Esteban Ponce;30/11/2024;30527280393;OK;;;Buenos Aires;Rauch; SAN MARTiN 197 (CP 7203) RAUCH, Buenos Aires  
Cámara Comercial, Industrial y Profesional de Tortuguitas;CCT;11/7/2002;NO;NO;NO;NO;Vencida;30/12/2018;Emilio Weber;30/12/2018;30623261995;CONSTANCIA BLOQUEADA;;;Buenos Aires;Tortuguitas; JUAN F. SEGUI 3989 (CP 1667) TORTUGUITAS, Buenos Aires  
Cámara Comercial, Industrial, Agropecuaria y Regional de El Bolsón;CCIAR;4/4/2013;NO;NO;SI;NO;Vencida;10/12/2023;Javier Abraham;31/5/2024;30689092396;BAJA DE OFICIO;;;Río Negro;El Bolson; De Miklos y Angel del Agua (CP 8430) EL BOLSON, Río Negro  
Cámara de Agentes de Telecomunicaciones Móviles de Argentina;CATEMA;9/12/2010;NO;SI;SI;SI;Vencida;31/10/2019;Hernan Polivik;31/10/2019;30712316663;OK;;;CABA;; AVENIDA REGIMIENTO DE PATRICIOS 1456 (CP 1266) Ciudad Autónoma de Buenos Aires  
Cámara de Agricultura, Industria y Comercio de General Roca - Río Negro;CAIC;4/12/1995;NO;NO;SI;NO;Vencida;7/5/2024;Walter Abel Sequeira;7/5/2024;30590171146;BAJA DE OFICIO;;;Río Negro;General Roca; BME. MITRE 944 P.B. (CP 8332) GENERAL ROCA, Río Negro  
Cámara de Alimentos, Región Venado Tuerto;C.A.R.V.T;9/9/2015;NO;SI;SI;SI;Vencida;31/12/2020;Juan Carlos Ippoliti;31/12/2020;30714321923;CONSTANCIA BLOQUEADA;;;Santa Fe;Venado Tuerto; MITRE 1141 (CP 2600) VENADO TUERTO, Santa Fe  
Cámara de Aparatos Electromecánicos, Componentes Electrónicos y Afines;CAEMA;27/7/2017;NO;SI;SI;SI;Vencida;1/1/2021;Mario El Kouss;1/1/2021;30606001165;OK;;;CABA;; YRIGOYEN HIPOLITO 850 Of. 215 (CP 1086) Ciudad Autónoma de Buenos Aires  
Cámara de Autoservicios y Supermercados Propiedad de Residentes Chinos;CASRECH;21/12/2005;NO;NO;NO;NO;Vencida;30/12/2023;Zhen Daming;30/12/2023;33709483809;CONSTANCIA BLOQUEADA;;;CABA;; Bernardo de Irigoyen 428 1 (CP 1072) Ciudad Autónoma de Buenos Aires  
Cámara de Bodegas y Viñedos del Tucumán;CBVT;27/7/2017;NO;SI;SI;SI;Vencida;30/4/2026;Silvia Yolanda Gramajo;31/12/2021;30712314695;OK;;;Tucumán;San Miguel De Tucuman; SANTIAGO DEL ESTERO 21 PB 2 (CP 4000) SAN MIGUEL DE TUCUMAN, Tucumán  
Cámara de Comerciantes e Industriales Mayoristas de la Provincia de Córdoba;CMC;11/3/2005;NO;SI;SI;SI;Vigente;30/6/2023;Lucas Martín Romero Céliz;30/12/2024;30681019878;BAJA DE OFICIO;;;Córdoba;Cordoba; BUENOS AIRES 330 E.P. Of. 6 (CP 5000) CORDOBA, Córdoba  
Cámara de Comerciantes en Artefactos para el Hogar del Centro y Norte de la Provincia de Santa Fe;Camhogarsfe;00/00/0000;Si;NO;SI;NO;Vigente;30/11/2024;José Alfredo Lilino;30/11/2024;30678339314;OK;;;Santa Fe;Santa Fe; SAN MARTIN 2819 Of. 5 (CP 3000) SANTA FE, Santa Fe  
Cámara de Comerciantes en Artefactos para el Hogar y Electrónica de Córdoba;CCAHECBA;22/4/1985;NO;SI;SI;NO;Vigente;30/5/2025;"Julio Cesar Isuani
";30/5/2025;30685356070;BAJA DE OFICIO;;;Córdoba;Cordoba; GENERAL PAZ 79 3 (CP 5000) CORDOBA, Córdoba  
Cámara de Comerciantes en Repuestos del Automotor;CCRA;00/00/0000;NO;SI;SI;SI;Vigente;30/6/2022;Roberto Morales;30/6/2025;30534134378;OK;;;CABA;; BERNARDO DE IRIGOYEN 546 Piso 7 (CP 1072) Ciudad Autónoma de Buenos Aires  
Cámara de Comerciantes Mayoristas e Industriales de la República Argentina;CADMIRA;00/00/0000;Si;SI;SI;SI;Vigente;16/11/2024;Vicente Luis Lourenzo;16/11/2024;30529869580;OK;;;CABA;; JUNIN 265 - 267 P.B. (CP 1026) Ciudad Autónoma de Buenos Aires  
